tid,survivors,spans,dropped,feasible,recon_ns
000000008ec640e7,3,5,2,1,90846
0000001744f6e2e6,4,4,0,0,69709
00000017f04bb3bb,2,3,1,1,103005
000000133f772c4e,11,13,2,1,155533
000000165cd97154,3,3,0,0,96942
00000021bd08c582,4,4,0,0,72779
0000001d52e8117a,3,4,1,1,77542
000000197abff9c5,4,5,1,1,99736
0000001cac3a6285,10,13,3,1,179885
0000002904b0f256,2,3,1,1,61479
0000003a82a364b8,3,4,1,1,89287
0000003787dc00d9,3,3,0,0,56285
00000035c18b5a8e,2,3,1,1,84648
00000040c74e2025,4,5,1,1,100359
00000045472b332e,2,3,1,1,50011
0000004cd14cf302,2,3,1,1,76478
0000004d2e2281a1,3,4,1,1,113071
000000514ee51cd8,3,4,1,1,74175
000000531953fb97,3,5,2,1,75894
000000570f8a0e7c,4,5,1,1,91731
000000575825761c,4,5,1,1,107641
000000625472c7e6,3,3,0,0,45806
000000672237e583,3,3,0,0,36449
0000006be9055780,4,4,0,0,136311
000000748e0f9b9f,2,5,3,1,655571
0000005152de00da,3,3,0,0,492228
00000067c3b5ae8e,11,18,7,1,1027782
0000008908ced95d,2,3,1,1,110842
000000944cb04b7b,5,5,0,0,85714
0000009df8766dcf,3,5,2,1,67830
000000a5b99649b8,4,5,1,1,594709
000000aed08cbee9,3,4,1,1,187480
000000bc2ec51d02,4,4,0,0,168167
000000baf26ab347,9,14,5,1,653272
000000bc0b3b6bb5,3,5,2,1,551985
000000bb9bbe2b8a,2,3,1,1,624183
000000ca719e4b6c,3,3,0,0,92854
000000d404654c42,2,3,1,1,108275
00000178065b05ed,67,95,28,1,3128850
000002571b21ab43,5,7,2,1,574591
0000019f9ca7d3e8,24,35,11,1,1091203
00000193e0db0625,83,111,28,1,3521583
0000026b62356a85,61,90,29,1,2753018
0000017a0c8a9e0c,329,419,90,1,11207660
00000309e627d9e0,6,8,2,1,123004
0000031fa7ddec43,60,82,22,1,2413641
000003862a806203,6,7,1,1,243437
000001ba5310d89a,408,545,137,1,12097694
00000386293f76fb,38,48,10,1,1819856
000004a1fc4d7ccf,6,7,1,1,81996
0000060c16896db2,135,175,40,1,3957413
00000170990eddcb,925,1233,308,1,31839479
0000087c8dc7cdb6,36,54,18,1,1664815
000007f5b3d8ff79,228,316,88,1,5836839
00000a138b820933,25,40,15,1,589545
00000af28a4f6fd6,10,13,3,1,948801
00000ccbc48b305f,124,167,43,1,6385933
00000aac7c9d6e87,595,750,155,1,20758540
000009bdfc0a6987,966,1244,278,1,28551896
00000e21f3b8f379,603,737,134,1,16084496
00000b6d8ac2cd6f,838,1092,254,1,27028723
000015f42bdc0ad2,7,9,2,1,774111
00001567bd2b6163,6,9,3,1,1149402
000013e7e942491e,96,123,27,1,3248348
000015abfc5129be,102,153,51,1,4501590
00001b34d9ae4d10,51,63,12,1,944038
00000e1fb9dd5825,1300,1717,417,1,50670395
000024424d96cc8e,5,7,2,1,161386
000024e6432a380e,16,18,2,1,1637311
000025e337a60712,5,9,4,1,180852
00001a7df4352541,697,933,236,1,31603928
000020c2c7e07092,749,959,210,1,32723517
000034f9f383a23e,6,8,2,1,181858
00003a7a495b5aa4,6,11,5,1,260944
000033b6ade440e8,701,962,261,1,26599775
000011c409ce8e93,1446,1958,512,1,134736434
0000371c8dfb3d97,686,923,237,1,28494967
000048ab63f0d639,25,32,7,1,539993
00002b81a84f8af5,1978,2629,651,1,79214082
000052711082078b,10,13,3,1,304959
0000546dcf8e30a8,197,269,72,1,7735412
000051feb70e9993,692,886,194,1,21527681
