tid,survivors,spans,dropped,feasible,recon_ns
0045fa7c88bb656b,106,134,28,1,1554963
0006ceb2a5be3725,6107,7854,1747,1,198101297
004b1a55b6542eb3,90,114,24,1,1476261
004eee5f47f0b1cd,4,6,2,1,154979
004a49d3d4fe95b6,234,297,63,1,11356352
003e47a6c317ec93,1285,1672,387,1,38779868
00506cdd36b74579,47,63,16,1,796780
0010d11502e70f0b,5522,7177,1655,1,171230272
0047bfb713201573,1139,1595,456,1,33682866
004ad50a2abcaeb2,1113,1419,306,1,26953971
0060107301994443,9,12,3,1,330936
005fdbe8d2fd2f9b,20,28,8,1,351210
005d8272666fe795,318,375,57,1,5169139
006c8dd52ad1e87c,155,192,37,1,2693883
00004cf694ff31f5,13400,17557,4157,1,640941112
00778f526eb3f990,188,197,9,1,1150858
00838941fac68c37,67,94,27,1,809198
00040ea02fc33cf8,1127,1590,463,1,403853972
008ae62541d9211b,6,7,1,1,98974
0095e0caac417e07,83,121,38,1,1302814
008843f4e151ef32,277,329,52,1,5595320
0086fb869b6d9b9a,238,285,47,1,5701865
009a8a0387718706,268,323,55,1,6298913
0087e110ac944c46,213,316,103,1,7110944
0093be6127fc579b,429,577,148,1,6618485
002fec93ecedff2e,3564,4865,1301,1,196240054
00c1ea1133b2e2f0,45,64,19,1,620173
00a7641b201e974a,197,204,7,1,1205863
00c6b30f12ed6cf6,183,187,4,1,1617697
009fb4a9fc92b6dd,1578,2199,621,1,68294905
00d8c0971f50de30,43,64,21,1,697539
00b72f5cb0cce86d,1014,1321,307,1,21837701
00cd8b649c1d3647,799,1050,251,1,21184626
00d90204d251904d,43,52,9,1,607540
00a6084298b759c5,843,1093,250,1,25067385
00d893b780c7344e,267,329,62,1,3399905
00c6264a44c71881,1035,1480,445,1,29622293
00e05ba07e7c1dd7,28,38,10,1,611711
00e067d813e61cee,29,39,10,1,729146
00db90797beb41eb,279,327,48,1,9360004
00c0603d96162271,1064,1389,325,1,41322315
00e373bfd36e35ac,149,213,64,1,2144220
00d85de824f1deef,1054,1398,344,1,31778996
00f042a27597b459,8,10,2,1,231528
00fa12c51d8d85ea,50,64,14,1,743003
00f3dd5709851c71,121,166,45,1,2605619
00f77bf14898c135,296,335,39,1,4115244
00f4c0ae50d3a07d,297,329,32,1,4849275
00fd1016be9ce820,754,985,231,1,19282492
00f99c2ca2dc50ad,803,970,167,1,27387884
00837723e6367364,5613,7050,1437,1,192008372
01196a8bb49aec65,30,39,9,1,487407
011055868b2bd48d,91,136,45,1,1326557
0119a5ff349f7f2d,182,187,5,1,1088870
0115ea59a33731c3,63,100,37,1,1786541
013463f7bd6d5a2d,8,8,0,0,65548
01139772c4db8653,185,189,4,1,2894157
010f4b5df5973539,172,216,44,1,4826808
011e4cc56c7a4810,300,356,56,1,3237796
013b25e677646b85,95,114,19,1,1227619
01373404210495bf,206,224,18,1,1733725
01257410d987af69,982,1281,299,1,24329365
01414b36617a5c09,83,119,36,1,4454022
010c60d79f4191e9,1018,1268,250,1,31229481
0141808a11599d5a,284,313,29,1,8243523
013529bb453f7984,975,1296,321,1,31816456
01454aa67fe0e924,639,908,269,1,21240908
01609d180e534022,12,14,2,1,260307
01615057f1ab0e47,105,143,38,1,1863026
016dbd7ed735250f,40,49,9,1,1657849
016cc14ed846794f,211,229,18,1,5923168
016e230fbfb6ad29,581,718,137,1,28734483
0173f58ec2adb533,826,1082,256,1,32011722
017324a3b2aeeeed,772,1025,253,1,35440804
01834cc02fd93cb2,41,58,17,1,834298
01810e792fcaa403,89,120,31,1,2069259
017c8319dbe3065c,948,1221,273,1,35615627
00e0f7c31547d01c,5506,7233,1727,1,256625319
0182a15f9215cf30,735,940,205,1,21104400
019b6b063f02e324,183,247,64,1,2030050
018bfa845704c4c3,907,1177,270,1,24605513
016b36a6fbb1f800,2561,3300,739,1,95475942
01a4b800896f41bb,81,104,23,1,1142849
01ab60dfaf3d7c12,6,8,2,1,50897
01ac8d311d27fb08,86,111,25,1,938456
00fc6e68b1e3855c,7075,9226,2151,1,253415844
01b0b43c4abd88af,161,219,58,1,2826899
01b8bd9209893a6f,7,11,4,1,120595
019cd80116f1aeda,1121,1440,319,1,43370333
01a1ab5ead8d6dfc,1339,1714,375,1,41254448
01b7b038ac1172a0,388,468,80,1,9018368
01a3b99d0b8d0540,1334,1631,297,1,37668182
01c795a22248e2db,292,345,53,1,3069964
01d79546f7f6ac1f,95,130,35,1,1507883
01dbec9e0db73ebe,47,57,10,1,676012
01d5641f07ef51a6,323,351,28,1,3140804
01e1f59bfef4904e,29,38,9,1,596132
01e5ac10f25efc8b,326,373,47,1,4463333
01ef7bc42feecea4,34,41,7,1,436208
01f2b4220f063524,115,143,28,1,1475722
01df63527d4a89cb,738,961,223,1,22843051
01f96ed95dcbb819,127,160,33,1,2700231
01f4a0fa6b522ec9,494,621,127,1,8009826
02012f7fef433512,3,3,0,0,72144
01ed5474f3ce600e,593,839,246,1,18232851
01fb958d3907fdac,277,327,50,1,2658058
01eab8aef53cb68e,1344,1733,389,1,24348566
018a61bd43a4853f,2770,3932,1162,1,154138605
020357bfad1b42ca,214,284,70,1,5427291
020703108b0cdc7a,404,483,79,1,8911011
0200eb7a2dd185d6,790,1037,247,1,18049277
00014a31eb82ff66,17130,22743,5613,1,995025940
02006681cc3161f7,898,1193,295,1,27107230
0222fbe8e0b0cb55,239,322,83,1,7283060
02321875096756d5,195,201,6,1,2051147
022abf74b3ef2def,792,1015,223,1,19727448
02188c73318e01fa,1303,1682,379,1,36919997
023a964b63654e07,254,283,29,1,3983199
022b574215d7044f,941,1156,215,1,22466307
024d2d9e7ff85347,101,131,30,1,1439799
025e0976b7fe77be,30,40,10,1,458515
024b616fe8c74748,878,1133,255,1,23283086
024f9954c1ae0105,903,1231,328,1,26807518
0233e36282e23a43,1480,2051,571,1,50466122
0266abc152fb81c3,444,578,134,1,13253413
02748be1805b8c1f,299,442,143,1,10663860
00a020460b415ab5,7125,9259,2134,1,635972103
0272039a610aee1a,765,976,211,1,17277123
02906830c158e7e4,288,330,42,1,4780553
027d6c844b61ebaa,552,696,144,1,20929799
0284c85fa83d9ff2,1045,1374,329,1,22935718
02988601ef4f9e1e,290,331,41,1,5630838
02a82604f2219aa7,403,500,97,1,5756046
02afda907710f6a6,116,153,37,1,4477917
02a604ab954c492c,479,651,172,1,14603466
02b00c959c975643,224,237,13,1,4641681
0299bf14795f653d,1051,1513,462,1,27788295
02a19cdd7ae8f344,1062,1423,361,1,27308566
02bd476bc1cd3ac7,42,51,9,1,563616
0245c93c6a22728c,757,1153,396,1,144993968
02bea50a5ebeabd2,266,351,85,1,5201771
02c0ca83b4a8ed23,1074,1315,241,1,22578218
02c14d31d3abf28c,1161,1586,425,1,30061282
02c8d8d5115c6483,764,1029,265,1,21613814
02cfb8d5c594745a,228,254,26,1,3806615
02d32d46513600c6,93,119,26,1,2433033
02e0e8b5e16d1e24,19,24,5,1,346393
02d7c295c43eb1dd,803,1081,278,1,23601345
02ef8b0d946199ea,301,358,57,1,7827141
02f8414b0fc3f1f3,278,313,35,1,6927418
030795e389348bb1,5,6,1,1,191202
02fce5f64259a3cb,1056,1339,283,1,25339443
030c14c9f14a935e,480,632,152,1,10672523
0306502f658412dd,482,596,114,1,23878624
0310ec60920fc721,586,767,181,1,15887465
0319cb4832e6126e,124,164,40,1,2356955
0317bb1664d83a41,810,1038,228,1,12861708
02fe27c822901e15,1864,2469,605,1,61470600
0324af1e60b4730e,28,31,3,1,3769619
03210f89fb821f59,304,353,49,1,7874143
031e92fc85a0ac3f,717,930,213,1,30352964
032345f341418462,1093,1453,360,1,24503600
034237054f15ac8f,84,119,35,1,2524857
033123921259e6f4,1049,1387,338,1,29734358
03536d060da361a7,36,48,12,1,756640
03481e2c6031e06f,466,567,101,1,11906549
0335833dfb09bb66,786,1020,234,1,42761219
032c3c669f2f2501,1382,1820,438,1,55017305
0359b9856180887b,358,446,88,1,7847753
0363192bb3901485,124,158,34,1,4550723
0364bf5e1274d36d,39,49,10,1,1208673
03657925055a1b51,787,1019,232,1,33748650
035df23a046d37e1,986,1362,376,1,50895414
036e2cc09145e377,182,243,61,1,4707503
03693ad5aba3d693,253,279,26,1,9063896
037bec7057268a08,32,40,8,1,595176
035d813ed70de860,1271,1501,230,1,63341879
037e926fb8428eab,284,335,51,1,4430300
038198a9cc752e89,80,111,31,1,2248238
0385e9d8ff57aea3,25,38,13,1,703080
03872d9a41086d60,41,52,11,1,1135432
0379120618c19fe1,1055,1349,294,1,29931973
038aab01bcd92da3,3,3,0,0,46595
038ca85f0fc6eea4,18,25,7,1,303554
038f43f9edc937bc,250,274,24,1,3528736
0389d69fea1affb7,771,1003,232,1,29844897
0395bc4151c81a80,342,459,117,1,7673836
03a0a32def709ffc,260,290,30,1,3546623
039fe231c11ad077,460,633,173,1,18472615
03ac91efd908164f,258,302,44,1,3461941
03ae563ffde23a34,33,47,14,1,675304
031748bb75953fea,922,1350,428,1,271086189
0353533fe5a115b2,4018,5401,1383,1,135325906
0018e5ab2f9810f0,2805,3824,1019,1,1487458105
03bf46fa47264b5e,329,399,70,1,5121077
03b43abd6b1660ac,770,996,226,1,17956886
03a86640ddf83cd0,911,1201,290,1,45770752
03b23325cddd5bdb,1170,1477,307,1,35799277
03cff3f2c14c8ec0,409,541,132,1,8958896
03d1fe03add0a18a,263,283,20,1,12522320
03c93b96ce03475a,962,1319,357,1,26302057
03e06a6c00f6c4c5,500,556,56,1,10479729
03e1da3ca77a9cbd,92,129,37,1,3544963
03c12555015f7cad,887,1179,292,1,42981737
03e1e1307e30747c,333,402,69,1,6415310
03de22a3ba5e54bd,511,620,109,1,27340509
03219abc5856d32d,1673,2091,418,1,253459970
03efa93216b98202,7,7,0,0,147472
036376ecfa95b66c,677,899,222,1,195458481
03e4bcfc64b72b70,41,51,10,1,516455
03f7db3d9bd7d429,122,168,46,1,1423635
03f7d1fae43b4dfd,201,217,16,1,1249752
03eddfb6a7829674,222,236,14,1,2168251
03e7044d748275da,211,224,13,1,4261081
03bfe8d413f821c7,1718,2264,546,1,56661591
03fac6038433ae93,180,216,36,1,2190795
03f0ddb34c5756a7,267,375,108,1,10083812
03e26f0f4678fecd,1203,1558,355,1,33099985
0400281fae8157f3,1143,1446,303,1,25023744
042448c99c149aaa,3,6,3,1,68001
0400f9eead61dc66,1204,1597,393,1,35744685
041e1d262ec71041,722,919,197,1,12525847
04151a7986de7456,1241,1615,374,1,25009444
