tid,survivors,spans,dropped,feasible,recon_ns
0000001744f6e2e6,4,4,0,0,72195
0000004d2e2281a1,3,4,1,1,106279
000000531953fb97,3,5,2,1,114992
000000575825761c,4,5,1,1,150030
000000672237e583,3,3,0,0,38831
000000944cb04b7b,5,5,0,0,631271
00000af28a4f6fd6,10,13,3,1,187565
00000b6d8ac2cd6f,838,1092,254,1,20378421
0000546dcf8e30a8,197,269,72,1,4983096
000269366619c224,413,563,150,1,13983332
000669468c8f6e00,3,3,0,0,338861
006c8dd52ad1e87c,155,192,37,1,2720786
00c0603d96162271,1064,1389,325,1,33501724
00d90204d251904d,43,52,9,1,548058
00e067d813e61cee,29,39,10,1,1892328
00f3dd5709851c71,121,166,45,1,3305258
00f4c0ae50d3a07d,297,329,32,1,5479014
0119a5ff349f7f2d,182,187,5,1,2645313
01414b36617a5c09,83,119,36,1,1834642
00fc6e68b1e3855c,7075,9226,2151,1,222009031
01e5ac10f25efc8b,326,373,47,1,5257845
01ed5474f3ce600e,593,839,246,1,16356231
025e0976b7fe77be,30,40,10,1,503363
02c0ca83b4a8ed23,1074,1315,241,1,22335332
02d7c295c43eb1dd,803,1081,278,1,26126277
03210f89fb821f59,304,353,49,1,5676869
03219abc5856d32d,1673,2091,418,1,41352556
035df23a046d37e1,986,1362,376,1,30070771
03872d9a41086d60,41,52,11,1,869990
03e4bcfc64b72b70,41,51,10,1,730976
03f7db3d9bd7d429,122,168,46,1,2150386
0400281fae8157f3,1143,1446,303,1,29708256
042448c99c149aaa,3,6,3,1,107201
042edeeecd37c036,3743,5184,1441,1,181577021
04c631698e9cbaf2,892,1137,245,1,22639850
04d9deec9ebddefa,1034,1348,314,1,23878058
05d77c9b5b59ab31,1173,1569,396,1,31751242
05ec69f91a15d361,518,649,131,1,12400487
05f54bb2189d7f76,288,327,39,1,3992426
0621e3f743dacb1b,5,7,2,1,179537
0640565ee9de6b05,677,964,287,1,15989842
0680ea53ba287dad,311,367,56,1,5798862
068904d57fbdee97,471,541,70,1,9707310
069c2d0e3408cf06,3,7,4,1,118993
06913a8836dbd0c7,594,756,162,1,12992433
069d60e3f0d84aab,180,218,38,1,2347210
076684ed03918d80,91,120,29,1,3010775
076b5bbaf7fb3135,5,6,1,1,113474
0769e51998103ed5,911,1212,301,1,23658591
07d752f71c7abf18,188,195,7,1,3174243
0815b0f652851e90,160,184,24,1,2501344
080a03a90463b209,941,1221,280,1,30039555
08bd8c71aac13aaa,518,646,128,1,7275435
08cb2f11c537a2ac,272,293,21,1,2289860
08dd64f9a5bd4af1,1462,1855,393,1,35675626
090d081327b973bf,120,153,33,1,1930186
0909cbcc0f4f387d,233,279,46,1,8554026
091d6cd5aec98c69,1057,1505,448,1,26402335
093dcbffe2019b44,735,945,210,1,16097550
099ab42fb403c0d8,446,619,173,1,10974987
09c02e510afd5193,270,293,23,1,2469857
0985ea2f512e2722,3854,5109,1255,1,127752235
09e4adffec065c2b,843,1090,247,1,22479425
0a01d9efaa1901e4,26,31,5,1,2087000
0a00a469b50e9a5e,694,924,230,1,15046822
0a17a64c2264d02d,98,135,37,1,2507564
0a2301307089cff7,1172,1528,356,1,28496052
0a42cb19c28c3ed1,861,1163,302,1,20460691
0ac25a3f6f6423f3,720,938,218,1,19178229
0b270af67a643817,84,109,25,1,1236365
0b19bfbdad33bd2f,1082,1396,314,1,26018999
0bad6740cb346b11,1037,1350,313,1,21593897
0bc9820f5ea7e8bd,394,482,88,1,7291387
0bd0db838174de34,791,948,157,1,18723431
0be367c13e8d3466,228,238,10,1,1842765
0be5aba09c5ac7bf,771,1042,271,1,17955776
0bf8a02bb838c3d2,310,363,53,1,6744053
0c5b2dde20752771,951,1264,313,1,24442261
0c93ecfe6e18df1f,193,271,78,1,5486763
0d214d803e7351e2,83,113,30,1,2859400
0d6a6f9eb8e789fe,388,454,66,1,7410485
0d64882abcec8f9e,1206,1593,387,1,32926630
0dfc91b1a8423545,876,1131,255,1,19675839
0e1a3feec47d663b,16,25,9,1,1137822
0e169e64acab0f45,2922,3753,831,1,73903032
0e6b22afeee4c36f,1036,1352,316,1,24629184
0e7f246cc69f2f8e,702,955,253,1,12657690
0f5438daafd81270,267,293,26,1,3919346
0eafc27b91fce294,4879,6936,2057,1,166230219
0fb772a76640c2ce,245,271,26,1,3662927
0fdfe43177d524a4,883,1092,209,1,19434338
104aaf697959426d,297,350,53,1,7760734
0fb972694acb700b,5394,6325,931,1,172478004
1110d21f660ded73,43,58,15,1,664910
117bc7db5e087173,200,221,21,1,1682196
123417e26b9e384d,436,514,78,1,8506518
1293ecab191c18f3,343,493,150,1,7331172
1321cb66c4a1fa38,98,129,31,1,2496896
132d34c57093be3a,167,217,50,1,5192881
1355dd6b031b9f0f,84,116,32,1,1671504
137627f655fa8d93,103,137,34,1,1441327
13b6b3266c0a250e,26,35,9,1,519863
13ef33bfb4db224d,949,1353,404,1,25739420
14327fbb39d86373,281,309,28,1,1777641
1441a99a53878259,600,818,218,1,9973919
11d6899c26fc4f8e,15618,19077,3459,1,507160385
14d07f4f9d10c991,322,389,67,1,5072658
14d6491ddeb0d4e7,405,476,71,1,5630846
14eb2277fed29c3c,61,79,18,1,1713502
151d6049f975c28f,277,321,44,1,3091705
1672dcf29253f103,59,91,32,1,1159511
16b08f48d4838761,269,308,39,1,2593994
16dc5c2b616581df,149,225,76,1,3520556
16f6de5a409f87eb,74,103,29,1,1841746
17f9d8d87a13093e,4,7,3,1,147333
17b30e155102604e,2873,3936,1063,1,87353580
1877abcee02d029c,238,314,76,1,5274075
17c6302346c9a638,3955,5282,1327,1,142045669
18bafee7d4c37a7e,509,621,112,1,8199840
199bb52cea57e7a6,3,3,0,0,87514
1a9ae9c8bd26c2d2,29,40,11,1,435548
1b206eb19fd169d4,339,400,61,1,5532876
1b48762dce3c1069,10,16,6,1,272570
1ba5546a2716a136,94,127,33,1,1575326
1c3f8bbe683cd5b2,583,740,157,1,11338836
1c497c912be889db,355,458,103,1,12147309
1c7b0203bd0e56b7,299,347,48,1,3187034
1c8f25aa91b88d1a,252,267,15,1,2163935
1cb8633b3954f602,1536,2035,499,1,39089059
1db58e43133f2e61,437,546,109,1,9124988
1de012296a70906d,286,348,62,1,4341966
1df12170873b87c6,452,551,99,1,7413071
1e18d3977b63a5c6,971,1201,230,1,7843517
1e8d72e9d441dfb4,3,3,0,0,92681
1f2cae56df06fac5,158,168,10,1,1461718
200b00603b303afb,2047,2600,553,1,39705359
205ac877335262b4,830,1087,257,1,17663469
2086ef704ce4c40a,319,412,93,1,7814456
2128960b310281d3,419,503,84,1,5630034
20ba390435fb86e1,4615,6194,1579,1,126141571
213cee7809a5a08a,837,996,159,1,11910917
2186bc15ad6ab26a,99,129,30,1,1711717
222f901c3dd2a97f,140,164,24,1,5629531
22445b44223ee705,333,463,130,1,8013389
224734dae9a9060b,319,364,45,1,3779861
229a08dcc3333aed,187,194,7,1,1292610
23280ca4d9c75023,194,202,8,1,2290691
23d68953e1f0d953,108,153,45,1,1990418
23f7f741520fea3b,21,27,6,1,458155
23f6182b09006f99,1641,2174,533,1,39126829
2419b5d1b1b451c9,783,1033,250,1,20155739
247587a69e63ce22,38,49,11,1,601570
24dc54df9e3e6998,1992,2606,614,1,52312639
25271e5076635612,1148,1606,458,1,29297129
259722ac43fad060,107,131,24,1,1518838
25876ec5f9210daa,888,1237,349,1,20050822
25db7050c31e9f80,493,621,128,1,9430614
25f8a380aeed4546,277,323,46,1,3382166
2670a956135e5167,95,138,43,1,1878055
26d6d3915baa89be,475,660,185,1,10929438
270dd9d0d5ce962f,202,211,9,1,1532290
27195b5348e01249,11,13,2,1,202747
2715f6ff03e8714c,545,691,146,1,9661303
2762d6b9e9105234,355,420,65,1,4190334
278dca90688b879a,183,187,4,1,1208406
27e34827602ed113,58,81,23,1,1150700
2823eaba9b5cbde9,27,31,4,1,749708
28a7c39b21d40bd0,144,223,79,1,2526229
294fd69311a2f387,575,742,167,1,11640701
2a0d3220c66ac9eb,41,49,8,1,503671
2a0e9fb6a2ed6f1c,8,13,5,1,312850
2a2c6e1f6e1b2ff4,1207,1655,448,1,24823818
2b370838fdb27842,44,52,8,1,802555
2b37dc4285333afe,262,293,31,1,4384562
2ba4db95b9017525,79,107,28,1,1439777
2c21eeca2175421e,244,265,21,1,2258404
2c3a064a63d80714,118,149,31,1,1851955
2c9118a0420c98ff,533,669,136,1,7532258
2cf10cb57e22af1c,185,247,62,1,2964878
2d0f5ebeee689111,264,283,19,1,2194347
2d1f87e35dc216f8,1194,1713,519,1,30154320
2d6ec5a7d1e05643,26,35,9,1,589857
2d81e65cd3b1aa3d,1059,1383,324,1,19353331
2d8f58564b76f5f0,4972,6183,1211,1,129880499
2e503e3bafd7aa9c,1,1,0,0,62602
2e5197ad62991d7c,94,124,30,1,2523452
2ecbf50e095ebd94,137,167,30,1,1930382
2ec988914967c502,969,1202,233,1,16681390
2edc4ad1f1905b59,656,817,161,1,12341322
2f43a7d577b7e38b,87,115,28,1,1516085
2f52c9fda9eace4d,94,119,25,1,1641917
2f73313341589d3f,255,284,29,1,3656940
2fa7079588418729,218,234,16,1,1868925
2fba62cc068b1d39,259,292,33,1,4396616
3070170416a3b05f,560,744,184,1,11206962
30a6cdfa733513da,18,27,9,1,545846
30ea49da010e01c1,95,121,26,1,1455084
31207a7b92cb0ece,953,1366,413,1,21020897
3139577aae187b7e,620,805,185,1,11599945
31f2662b3e2403d4,475,527,52,1,7809601
321f1173e4a2f0f4,58,82,24,1,1013346
3167f7aa1b8b3364,5383,7244,1861,1,163330930
327a32c9df207e65,29,41,12,1,557923
32c7cae6f94363c2,38,49,11,1,2133333
32c07f7a39942e6a,344,413,69,1,5956325
3342278bb94cde7b,15,22,7,1,417514
33a31ca7429c4a13,3,6,3,1,275477
33b891b75de5a5a1,6,7,1,1,139090
