tid,survivors,spans,dropped,feasible,recon_ns
1e8d72e9d441dfb4,3,3,0,0,112606
1f2cae56df06fac5,158,168,10,1,2289533
200b00603b303afb,2047,2600,553,1,58194821
205ac877335262b4,830,1087,257,1,24625710
2086ef704ce4c40a,319,412,93,1,9544368
2128960b310281d3,419,503,84,1,11597725
213cee7809a5a08a,837,996,159,1,17503601
20ba390435fb86e1,4615,6194,1579,1,190638439
2186bc15ad6ab26a,99,129,30,1,2323452
222f901c3dd2a97f,140,164,24,1,4636342
224734dae9a9060b,319,364,45,1,5071054
22445b44223ee705,333,463,130,1,7642008
229a08dcc3333aed,187,194,7,1,1786887
23280ca4d9c75023,194,202,8,1,3390323
23d68953e1f0d953,108,153,45,1,2719162
23f7f741520fea3b,21,27,6,1,480771
2419b5d1b1b451c9,783,1033,250,1,28373878
23f6182b09006f99,1641,2174,533,1,54846120
247587a69e63ce22,38,49,11,1,797676
24dc54df9e3e6998,1992,2606,614,1,69156493
25271e5076635612,1148,1606,458,1,38420916
259722ac43fad060,107,131,24,1,2725049
25876ec5f9210daa,888,1237,349,1,30303839
25db7050c31e9f80,493,621,128,1,11374535
25f8a380aeed4546,277,323,46,1,6513143
2670a956135e5167,95,138,43,1,2449828
26d6d3915baa89be,475,660,185,1,13982064
270dd9d0d5ce962f,202,211,9,1,2120622
27195b5348e01249,11,13,2,1,248297
2715f6ff03e8714c,545,691,146,1,12826115
2762d6b9e9105234,355,420,65,1,5929750
278dca90688b879a,183,187,4,1,2965863
27e34827602ed113,58,81,23,1,1498905
2823eaba9b5cbde9,27,31,4,1,879551
28a7c39b21d40bd0,144,223,79,1,3313931
294fd69311a2f387,575,742,167,1,14859510
2a0e9fb6a2ed6f1c,8,13,5,1,338144
2a0d3220c66ac9eb,41,49,8,1,2798877
2a2c6e1f6e1b2ff4,1207,1655,448,1,35723371
2b370838fdb27842,44,52,8,1,981115
2b37dc4285333afe,262,293,31,1,6050757
2ba4db95b9017525,79,107,28,1,1895038
2c21eeca2175421e,244,265,21,1,3352512
2c3a064a63d80714,118,149,31,1,4114580
2c9118a0420c98ff,533,669,136,1,12180811
2cf10cb57e22af1c,185,247,62,1,4200136
2d0f5ebeee689111,264,283,19,1,3111728
2d1f87e35dc216f8,1194,1713,519,1,46289240
2d6ec5a7d1e05643,26,35,9,1,721435
2d81e65cd3b1aa3d,1059,1383,324,1,30804764
2e503e3bafd7aa9c,1,1,0,0,73769
2e5197ad62991d7c,94,124,30,1,2510935
2ecbf50e095ebd94,137,167,30,1,2919953
2ec988914967c502,969,1202,233,1,30959105
2edc4ad1f1905b59,656,817,161,1,23290853
2f43a7d577b7e38b,87,115,28,1,1913169
2f52c9fda9eace4d,94,119,25,1,2085221
2d8f58564b76f5f0,4972,6183,1211,1,448277047
2f73313341589d3f,255,284,29,1,3607156
2fa7079588418729,218,234,16,1,2496228
2fba62cc068b1d39,259,292,33,1,5133683
3070170416a3b05f,560,744,184,1,15472819
30a6cdfa733513da,18,27,9,1,764745
30ea49da010e01c1,95,121,26,1,2189621
3139577aae187b7e,620,805,185,1,18861604
31207a7b92cb0ece,953,1366,413,1,41706332
31f2662b3e2403d4,475,527,52,1,10688787
321f1173e4a2f0f4,58,82,24,1,2947698
327a32c9df207e65,29,41,12,1,1977884
3167f7aa1b8b3364,5383,7244,1861,1,254358824
32c7cae6f94363c2,38,49,11,1,859561
32c07f7a39942e6a,344,413,69,1,7410714
3342278bb94cde7b,15,22,7,1,509160
33a31ca7429c4a13,3,6,3,1,229612
33b891b75de5a5a1,6,7,1,1,155062
33ed9b6596c2a35e,183,188,5,1,1731283
3426333ef9aa7fe5,182,190,8,1,1829956
3561033e2236e192,115,161,46,1,2586886
35b5248ee182222a,532,651,119,1,14082159
36fab04f1692cae8,342,411,69,1,5834264
34b151a67c622ce4,9847,12808,2961,1,519782985
372bec371a661a7e,307,370,63,1,7855750
37b17097c03ac231,669,878,209,1,18496737
37effad9dc8f1646,253,282,29,1,3968759
381048c12b2285ce,188,202,14,1,1981792
384fb93d44738c1e,181,187,6,1,1811542
385cf024f9bb33c9,34,48,14,1,880221
394ad6dcf3f71b97,256,297,41,1,4220573
3a1c24f82639431c,359,500,141,1,8888067
39e1b400819575c2,3760,4995,1235,1,162566471
3a8ee226ef528e4d,1343,1773,430,1,44637886
3acd092060f09e9b,5,7,2,1,161733
3ade4a6c7ed835b7,377,429,52,1,6992002
3b21a73bd6d314f6,64,78,14,1,1228874
3b40ece4c41cd70b,1538,2022,484,1,44171749
3b8602b262362c0e,597,795,198,1,17129529
3ba0ba886c9fa233,150,222,72,1,4865783
3b8f910cfc311cd2,1522,1970,448,1,49016282
3c0adfb13a41c202,324,373,49,1,4880213
3d1e1d1c0f7e42ad,401,579,178,1,12238021
3d92ec23f70ec5a0,2,3,1,1,120562
3dbf2ea86258e1a1,346,399,53,1,5366854
3e282ba64712c3e1,36,48,12,1,844440
3e5ff3f77770103c,99,149,50,1,2494860
3ed24e9b92c4828b,678,883,205,1,21774181
3ed65bcdf2ab4101,885,1195,310,1,30813664
3f2ff02a1c617d4a,208,228,20,1,2446298
3e49607454ec61b0,4337,5759,1422,1,210599356
402b2199493715a6,414,511,97,1,10066179
40463a7cd1f13b88,263,368,105,1,8110979
407f86911a1bf049,553,684,131,1,16375570
40f9b62cddc8fb91,377,484,107,1,11137502
41179cdedada0162,1079,1236,157,1,22897687
4131211c2b754348,1271,1599,328,1,32649651
41e089ef23de1db5,2,3,1,1,153393
41dd6a37092f37f6,85,116,31,1,2032233
41e80cb972a5c073,24,33,9,1,520533
428175c05eb4b1b9,94,132,38,1,2568165
42894915c34d3c62,261,284,23,1,3678371
42b69501fe3ab9d4,92,121,29,1,2248222
42e62b309248670c,34,49,15,1,1618099
439c096f3c172991,627,771,144,1,17603302
43c28488ad07b206,228,300,72,1,5867442
44f1397982a3ddbe,325,382,57,1,9511891
4517930ff8c39784,347,430,83,1,9247749
45319ece49bd4cd0,261,305,44,1,4031962
438d37e0c0b07b27,8409,11246,2837,1,487887170
45d07a646f5a5225,92,117,25,1,2082097
45b8cbdee97d6d22,903,1144,241,1,28940902
43642964cb563c50,6630,8381,1751,1,703921262
461404b7118bdfa5,972,1441,469,1,30092236
460a9b26f826cb90,4299,5438,1139,1,141242653
46fbb9196f2f414e,200,211,11,1,2057973
4702604d2abdec80,260,289,29,1,4826411
4718a481f5a68cf9,531,664,133,1,11692204
47beab41d1e76c86,701,903,202,1,19605388
47e8d06c9ac9444b,329,392,63,1,5285784
48791162f9f27059,239,257,18,1,6229666
48a263646bd4ef39,112,163,51,1,2997860
482983c8762bd905,3595,4642,1047,1,120276246
492870fac1432fda,89,118,29,1,2490728
49228d2116e4bddb,832,1105,273,1,21065542
498427c971ef4e30,10,12,2,1,319369
49a412b581538c83,205,217,12,1,4388540
4a2ad27e89e785f1,98,128,30,1,2308655
4a64576c1199e7ac,282,343,61,1,8072948
4ae2891908303360,29,39,10,1,1902140
4c212c8f93f389c5,18,25,7,1,463177
4afa813e9884568f,6956,8910,1954,1,247632108
4c2a84c0bd9f04aa,183,187,4,1,2077205
4c453f5a2685afb6,90,114,24,1,3319835
4c6c76bbff2cc324,148,218,70,1,3396839
4c60b2711d8ea886,794,1066,272,1,23669771
4c6278be569e8a77,1711,2246,535,1,64556639
4d0fbb12c5b792c2,1160,1476,316,1,35220208
4d6d23b792e83900,516,636,120,1,15873933
4dedac09beb50a90,26,31,5,1,2491626
4de794ca525ac70b,361,414,53,1,8629553
4e44468c3c9f83fc,761,1071,310,1,23211135
4e95d4e2cf85d9c2,29,39,10,1,702637
4ed19609af829237,11,12,1,1,382741
4ea49015e5347f55,935,1286,351,1,57628504
4f131013297a8b43,24,33,9,1,543356
4f2776ac35957873,7,9,2,1,222703
4f490ece795ed9fd,635,790,155,1,16759971
4f4b08a5eebc4423,382,553,171,1,15415087
501e81ef6e0dd958,215,319,104,1,5409760
501ee3d991cfeeb0,750,981,231,1,20617632
50649b50ec4b8cdd,802,1015,213,1,20070050
511658742168873b,20,23,3,1,435199
5120b2ccdee25b15,213,254,41,1,6492399
512068c908bbcdbb,791,1035,244,1,22066612
513ceb52751e4508,305,400,95,1,15037675
51305063df6abd6a,1114,1498,384,1,67284935
514c1ee3cdf96b40,1161,1637,476,1,47839018
51efe4f5080a2443,560,628,68,1,14174086
52bc20ada6c7e296,4,6,2,1,150880
52bf237ae7f8e441,385,470,85,1,10022102
53b5679e7cc292c3,47,63,16,1,1342017
53c6d0883b5e8785,208,217,9,1,2341309
53c3daaa9f1780b6,539,620,81,1,9113364
5416b42beb1f3fe1,40,49,9,1,788096
54441ab288a45bb3,65,79,14,1,1211186
5458d603fd27771b,88,125,37,1,2337102
54670aa3791b6cb8,265,301,36,1,3690325
54d6523d0808d70e,9,11,2,1,230920
556f405e45a1c3fb,209,232,23,1,2753391
556d6f095a99ef4f,342,394,52,1,7726668
55d0055f3cd85269,68,87,19,1,1450940
5624bb659d7fc419,452,636,184,1,21333307
564503913fb72ea3,320,383,63,1,10775955
563bf8f6f469b7df,703,903,200,1,22165737
566565155bd46f7f,855,1118,263,1,21768001
56a1b55f9a23dd5d,100,119,19,1,1957621
56d313c4525eb3a6,22,35,13,1,849029
5737e996cf066d15,3,3,0,0,105071
56f4c6b21c9d8eb6,2374,3175,801,1,76515317
57bad204110eb06a,81,110,29,1,3020676
57be43c19779644d,129,164,35,1,2706073
57e5ebb5e1320004,355,421,66,1,6429759
58155f4a7f130958,326,390,64,1,9194237
5821f424893f7656,201,214,13,1,2188537
58ce2b4d66baf803,252,283,31,1,5255730
590c65eaa6635c0c,227,306,79,1,5201921
593ef1094a14ef7b,1101,1387,286,1,28272511
59626da7a15064e1,3012,3973,961,1,122001101
59f830e4473863ae,269,290,21,1,3671687
5a532db8e9bee379,298,341,43,1,4086768
5a26a4ba0dad87e6,2084,2584,500,1,85630470
5b6542910f205bb4,315,373,58,1,6676137
5bc914512d6ccc57,195,206,11,1,2256649
5c09f38d664b6382,197,207,10,1,2080953
5c6a7877363936d5,94,122,28,1,3733261
5c832d0ab792baec,309,354,45,1,3654686
5dc84b7b8c7daec5,46,62,16,1,2567914
5dc58ee7401c09ac,329,385,56,1,7352186
5e0bee7e2b890bc9,252,284,32,1,4116757
5e2747d650330b5c,80,114,34,1,4149337
5e1e9dbb3d553987,246,359,113,1,11398663
5e73437531b63da5,64,93,29,1,4133949
5ec83542290cb5b2,65,93,28,1,1589463
