depth,width,num_traces,total_nodes,avg_ancestry_size_per_span,total_ancestry_size,bloom_size,hash_size,mode_size
2,2,0,7,32.42857142857143,227,152,45,30
2,3,0,13,35.53846153846154,462,342,60,60
2,4,0,21,37.38095238095238,785,608,75,102
2,5,0,31,38.58064516129032,1196,950,90,156
2,6,0,43,39.41860465116279,1695,1368,105,222
2,7,0,57,40.03508771929825,2282,1862,120,300
2,8,0,73,40.50684931506849,2957,2432,135,390
2,9,0,91,40.879120879120876,3720,3078,150,492
2,10,0,111,41.18018018018018,4571,3800,165,606
3,2,0,15,31.4,471,312,105,54
3,3,0,40,35.4,1416,1053,195,168
3,4,0,85,37.65882352941176,3201,2496,315,390
3,5,0,156,39.07692307692308,6096,4875,465,756
3,6,0,259,40.04247104247104,10371,8424,645,1302
3,7,0,400,40.74,16296,13377,855,2064
3,8,0,585,41.266666666666666,24141,19968,1095,3078
3,9,0,820,41.678048780487806,34176,28431,1365,4380
3,10,0,1111,42.00810081008101,46671,39000,1665,6006
4,2,0,31,31.193548387096776,967,640,225,102
4,3,0,121,35.80165289256198,4332,3240,600,492
4,4,0,341,38.29032258064516,13057,10240,1275,1542
4,5,0,781,39.81562099871959,31096,25000,2340,3756
4,6,0,1555,40.840514469453375,63507,51840,3885,7782
4,7,0,2801,41.57515173152446,116452,96040,6000,14412
4,8,0,4681,42.12710959196753,197197,163840,8775,24582
4,9,0,7381,42.55683511719279,314112,262440,12300,39372
4,10,0,11111,42.90081900819008,476671,400000,16665,60006
5,2,0,63,31.857142857142858,2007,1344,465,198
5,3,0,364,37.0467032967033,13485,10206,1815,1464
5,4,0,1365,39.76043956043956,54273,43008,5115,6150
5,5,0,3906,41.403225806451616,161721,131250,11715,18756
5,6,0,9331,42.50123245096989,396579,326592,23325,46662
5,7,0,19608,43.28626070991432,848757,705894,42015,100848
5,8,0,37449,43.875270367700075,1643085,1376256,70215,196614
5,9,0,66430,44.333478849917206,2945073,2480058,110715,354300
5,10,0,111111,44.7000837000837,4966671,4200000,166665,600006
6,2,0,127,32.68503937007874,4151,2816,945,390
6,3,0,1093,38.34949679780421,41916,32076,5460,4380
6,4,0,5461,41.25270097051822,225281,180224,20475,24582
6,5,0,19531,43.00066560851979,839846,687500,58590,93756
6,6,0,55987,44.16687802525586,2472771,2052864,139965,279942
6,7,0,137257,45.00008014163212,6176576,5176556,294120,705900
6,8,0,299593,45.62503463031513,13668941,11534336,561735,1572870
6,9,0,597871,46.11112765128264,27568506,23383404,996450,3188652
6,10,0,1111111,46.50000855000086,51666671,44000000,1666665,6000006
7,2,0,255,33.59607843137255,8567,5888,1905,774
7,3,0,3280,39.672256097560975,130125,100602,16395,13128
7,4,0,21845,42.750698100251775,933889,753664,81915,98310
7,5,0,97656,44.60013721635127,4355471,3593750,292965,468756
7,6,0,335923,45.833369551950895,15396483,12877056,839805,1679622
7,7,0,960800,46.71429746044963,44883097,37882978,2058855,4941264
7,8,0,2396745,47.37500443309572,113545805,96468992,4493895,12582918
7,9,0,5380840,47.88889076798418,257682459,220016574,8968065,28697820
7,10,0,11111111,48.30000087300001,536666671,460000000,16666665,60000006
8,2,0,511,34.048923679060664,17399,12032,3825,1542
8,3,0,9841,40.335230159536636,396939,308367,49200,39372
8,4,0,87381,43.500177384099516,3801089,3080192,327675,393222
8,5,0,488281,45.40002785281426,22167971,18359375,1464840,2343756
8,6,0,2015539,46.6666727857908,94058499,78941952,5038845,10077702
8,7,0,6725601,47.57143027069254,319946459,270945647,14412000,34588812
8,8,0,19173961,48.2500005606562,925143629,788529152,35951175,100663302
8,9,0,48427561,48.777777988860514,2362188819,2023195887,80712600,258280332
8,10,0,111111111,49.2000000882,5466666671,4700000000,166666665,600000006
9,2,0,1023,34.52492668621701,35319,24576,7665,3078
9,3,0,29524,41.000643544235196,1210503,944784,147615,118104
9,4,0,349525,44.250045061154424,15466497,12582912,1310715,1572870
9,5,0,2441406,46.20000565248058,112792971,93750000,7324215,11718756
9,6,0,12093235,47.50000103363575,574428675,483729408,30233085,60466182
9,7,0,47079208,48.42857167435782,2279978799,1936973136,100884015,242121648
9,8,0,153391689,49.12500007089693,7535366733,6442450944,287609415,805306374
9,9,0,435848050,49.66666669037524,21647119827,18596183472,726413415,2324522940
9,10,0,1111111111,50.10000000891,55666666671,48000000000,1666666665,6000000006
10,2,0,2047,35.51294577430386,72695,51200,15345,6150
10,3,0,88573,42.33355537240468,3749610,2952450,442860,354300
10,4,0,1398101,45.7500116229085,63963137,52428800,5242875,6291462
10,5,0,12207031,47.80000116326402,583496096,488281250,36621090,58593756
10,6,0,72559411,49.16666684353323,3567504387,3023308800,181398525,362797062
10,7,0,329554457,50.14285717883646,16524802070,14123762450,706188120,1694851500
10,8,0,1227133513,50.87500000906584,62430417485,53687091200,2300875335,6442450950
10,9,0,3922632451,51.44444444713538,201797647212,174339220050,6537720750,20920706412
10,10,0,11111111111,51.900000000909,576666666671,500000000000,16666666665,60000000006
